# ========
# captured on: Sun Aug  9 12:03:32 2015
# hostname : dev-1
# os release : 3.13.0-61-generic
# perf version : 3.13.11-ckt22
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i7-3667U CPU @ 2.00GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 2043140 kB
# cmdline : /usr/lib/linux-tools-3.13.0-61/perf record ./play_icfp2015 -f problems/problem_0.json 
# event : name = cpu-clock, type = 1, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9K of event 'cpu-clock'
# Event count (approx.): 2393250000
#
# Overhead        Command        Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Symbol
# ........  .............  ...................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.10%  play_icfp2015  libstdc++.so.6.0.19  [.] strlen@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.10%  play_icfp2015  libstdc++.so.6.0.19  [.] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::string&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.10%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::insert(unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.10%  play_icfp2015  [kernel.kallsyms]    [k] retint_careful                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.09%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::base() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.09%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.09%  play_icfp2015  play_icfp2015        [.] std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.09%  play_icfp2015  play_icfp2015        [.] std::allocator<bool>::~allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.09%  play_icfp2015  play_icfp2015        [.] std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.09%  play_icfp2015  play_icfp2015        [.] void std::__do_alloc_on_move<std::allocator<char> >(std::allocator<char>&, std::allocator<char>&, std::integral_constant<bool, true>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.09%  play_icfp2015  libstdc++.so.6.0.19  [.] std::allocator<char>::allocator(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.09%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::_M_replace_safe(unsigned long, unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.08%  play_icfp2015  play_icfp2015        [.] std::vector<Cell, std::allocator<Cell> >::begin() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.08%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::size() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.08%  play_icfp2015  play_icfp2015        [.] std::_Miter_base<unsigned long*>::iterator_type std::__miter_base<unsigned long*>(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.08%  play_icfp2015  play_icfp2015        [.] std::allocator<bool>::allocator<unsigned long>(std::allocator<unsigned long> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.08%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.08%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::empty() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.08%  play_icfp2015  libstdc++.so.6.0.19  [.] free@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.08%  play_icfp2015  libstdc++.so.6.0.19  [.] _ZNSs12_S_constructIPKcEEPcT_S3_RKSaIcESt20forward_iterator_tag@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.08%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::_Rep::_M_destroy(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.07%  play_icfp2015  play_icfp2015        [.] _ZNSaIcED2Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.07%  play_icfp2015  play_icfp2015        [.] Game::CurrentPeriod(int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.07%  play_icfp2015  play_icfp2015        [.] int const& std::max<int>(int const&, int const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.07%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::__normal_iterator(Cell const* const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.07%  play_icfp2015  play_icfp2015        [.] std::_Niter_base<std::_Bit_iterator>::iterator_type std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.07%  play_icfp2015  play_icfp2015        [.] std::_Iter_base<std::_Bit_iterator, false>::_S_base(std::_Bit_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.07%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.07%  play_icfp2015  play_icfp2015        [.] bool __gnu_cxx::operator!=<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.07%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_select_on_copy(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.07%  play_icfp2015  play_icfp2015        [.] char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, char>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, std::allocator<char>&)                                                                                                                                                                                                                                                                                                                                                                           
     0.07%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.07%  play_icfp2015  play_icfp2015        [.] std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, true>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.07%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::end() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.06%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<unsigned long>::max_size() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.06%  play_icfp2015  play_icfp2015        [.] char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)                                                                                                                                                                                                                                                                                                                                                                                                            
     0.06%  play_icfp2015  play_icfp2015        [.] std::priority_queue<(anonymous namespace)::Item, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >, std::less<(anonymous namespace)::Item> >::push((anonymous namespace)::Item&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.06%  play_icfp2015  play_icfp2015        [.] std::__alloc_swap<std::allocator<unsigned long>, true>::_S_do_it(std::allocator<unsigned long>&, std::allocator<unsigned long>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.05%  play_icfp2015  play_icfp2015        [.] State::Lock(Game const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.05%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::size() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.05%  play_icfp2015  play_icfp2015        [.] char* std::fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.05%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned long, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.05%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.05%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::operator++()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.05%  play_icfp2015  play_icfp2015        [.] std::allocator_traits<std::allocator<char> >::select_on_container_copy_construction(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.05%  play_icfp2015  play_icfp2015        [.] std::enable_if<!std::allocator_traits<std::allocator<char> >::__select_helper<std::allocator<char> const>::value, std::allocator<char> const>::type std::allocator_traits<std::allocator<char> >::_S_select<std::allocator<char> const>(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.05%  play_icfp2015  play_icfp2015        [.] std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, false>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.05%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::begin()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.05%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::begin() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.05%  play_icfp2015  play_icfp2015        [.] std::less<(anonymous namespace)::Item>::operator()((anonymous namespace)::Item const&, (anonymous namespace)::Item const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.05%  play_icfp2015  play_icfp2015        [.] _ZNSt16allocator_traitsISaIN12_GLOBAL__N_14ItemEEE12_S_constructIS1_IS1_EEENSt9enable_ifIXsrNS3_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS2_PS7_DpOS8_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.05%  play_icfp2015  libstdc++.so.6.0.19  [.] _ZNSs4_Rep9_S_createEmmRKSaIcE@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.05%  play_icfp2015  libstdc++.so.6.0.19  [.] _Znwm@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.05%  play_icfp2015  libstdc++.so.6.0.19  [.] memcpy@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.05%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::_S_construct(unsigned long, char, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.04%  play_icfp2015  play_icfp2015        [.] Cell::TranslateSub(Cell) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.04%  play_icfp2015  play_icfp2015        [.] Unit::GetBoundary() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.04%  play_icfp2015  play_icfp2015        [.] std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.04%  play_icfp2015  play_icfp2015        [.] std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
